epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,543.629,1.4383,0.78379,1.37292,0.88347,0.93708,0.9683,0.51239,1.75846,0.84539,1.50694,0.0011882,0.0011882,0.0011882
43,556.346,1.428,0.79197,1.3797,0.89225,0.97753,0.95072,0.50252,1.72842,0.80273,1.47202,0.0011684,0.0011684,0.0011684
44,568.887,1.4149,0.80706,1.36505,0.92226,0.93302,0.96942,0.52592,1.65888,0.72529,1.42252,0.0011486,0.0011486,0.0011486
45,581.381,1.45826,0.78782,1.40542,0.91465,0.96335,0.94622,0.48918,1.7281,0.76074,1.48515,0.0011288,0.0011288,0.0011288
46,594.014,1.41364,0.76729,1.35702,0.92321,0.96629,0.96681,0.53125,1.6623,0.77535,1.43883,0.001109,0.001109,0.001109
47,606.566,1.38834,0.75044,1.36383,0.91314,0.94496,0.96094,0.50805,1.70953,0.7408,1.44663,0.0010892,0.0010892,0.0010892
48,619.122,1.40076,0.76801,1.37859,0.91418,0.9575,0.96503,0.49685,1.74864,0.69269,1.46856,0.0010694,0.0010694,0.0010694
49,631.709,1.35431,0.74518,1.33562,0.92686,0.96629,0.96613,0.5063,1.74752,0.72383,1.46146,0.0010496,0.0010496,0.0010496
50,644.379,1.37622,0.74331,1.35845,0.91819,0.96629,0.96773,0.50821,1.73614,0.70712,1.49178,0.0010298,0.0010298,0.0010298
51,657.009,1.39355,0.74282,1.36137,0.92023,0.96629,0.94663,0.49523,1.75542,0.72925,1.47313,0.00101,0.00101,0.00101
52,669.743,1.3618,0.74812,1.35163,0.8959,0.97753,0.96073,0.48969,1.73435,0.74006,1.45763,0.0009902,0.0009902,0.0009902
53,682.323,1.38279,0.75474,1.36582,0.88338,0.96629,0.95294,0.5065,1.72688,0.75513,1.48325,0.0009704,0.0009704,0.0009704
54,694.808,1.31879,0.71834,1.31933,0.87814,0.97163,0.96482,0.50301,1.74397,0.73707,1.47864,0.0009506,0.0009506,0.0009506
55,707.522,1.32155,0.71058,1.32267,0.8866,0.97753,0.95585,0.51122,1.73024,0.76352,1.49945,0.0009308,0.0009308,0.0009308
56,720.195,1.3222,0.69711,1.32028,0.90518,0.96629,0.9532,0.51646,1.70448,0.72022,1.42679,0.000911,0.000911,0.000911
57,732.826,1.2994,0.7151,1.31236,0.89112,0.95506,0.95857,0.51075,1.71331,0.72497,1.46327,0.0008912,0.0008912,0.0008912
58,745.457,1.32971,0.72533,1.32014,0.90471,0.96016,0.96808,0.50908,1.71768,0.73604,1.50722,0.0008714,0.0008714,0.0008714
59,758.047,1.299,0.72017,1.31842,0.90418,0.97753,0.94016,0.51022,1.66601,0.68706,1.45163,0.0008516,0.0008516,0.0008516
60,770.706,1.31375,0.7091,1.323,0.92231,0.96629,0.94964,0.48717,1.70542,0.73405,1.50866,0.0008318,0.0008318,0.0008318
61,783.324,1.29051,0.71501,1.30965,0.90426,0.96629,0.94833,0.49949,1.7087,0.73286,1.49652,0.000812,0.000812,0.000812
62,795.999,1.28852,0.69803,1.29413,0.93855,0.97753,0.96275,0.51582,1.70167,0.72341,1.45154,0.0007922,0.0007922,0.0007922
63,808.912,1.26665,0.69787,1.29545,0.90267,0.97753,0.95004,0.49867,1.74543,0.70825,1.48023,0.0007724,0.0007724,0.0007724
64,822.079,1.24358,0.6809,1.27574,0.87937,0.96629,0.94859,0.50685,1.71236,0.73311,1.47711,0.0007526,0.0007526,0.0007526
65,835.614,1.2121,0.68512,1.27041,0.89087,0.96629,0.95584,0.5098,1.70143,0.69368,1.48557,0.0007328,0.0007328,0.0007328
66,849.926,1.23317,0.67284,1.26436,0.89687,0.96629,0.9657,0.5297,1.68151,0.71759,1.46028,0.000713,0.000713,0.000713
67,865.167,1.25063,0.68972,1.28778,0.91402,0.95557,0.96413,0.51594,1.72637,0.69621,1.50744,0.0006932,0.0006932,0.0006932
